00XH598-RP-HU;n/a;Lenovo USB Keyboard Slim HU;14;43;NEW;LENOVO;KEYBOARD;1Y CCR;USE 1YR CCR;n/a;HU;n/a;00XH598;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/00XH598-RP-HU;0;n/a;n/a; 
01YP052-RP-EE;n/a;Keyb x280/x390/L13/L13 Yoga EE - BL reprint;3;14;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;EE;n/a;01YP052;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/01YP052-RP-EE;0;n/a;n/a; 
01YP169;n/a;Keyb x280/x390/L13/L13 Yoga DK;19;71;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;DK;n/a;01YP169;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/01YP169;0;n/a;n/a; 
01YP210;n/a;Keyb x280/x390/L13/L13 Yoga ES - BL;4;68;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;ES;n/a;01YP210;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/01YP210;0;n/a;n/a; 
01YP869;n/a;Keyb x280/x390/L13/L13 Yoga US/I - BL - SILVER;7;47;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;US/I;n/a;01YP869;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/01YP869;0;n/a;n/a; 
01YP937;n/a;Keyb x280/x390/L13/L13 Yoga IT- BL - SILVER;1;47;NEW;LENOVO;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;IT;n/a;01YP937;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/01YP937;0;n/a;n/a; 
1Y4D0AA#UUW;n/a;HP 235 Wireless Keyboard Mouse Combo, Nordic;1;31;NEW;HP;KEYBOARD;1YR CCR;1 Year Carry-in Warranty;n/a;NORDICS;n/a;1Y4D0AA#UUW;0195122606459;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/1Y4D0AA%23UUW;0;n/a;n/a; 
3YJ-00004;n/a;MS Surface Wireless Keyboard, french Grey;26;47;NEW;MICROSOFT;KEYBOARD;1YR CCR;1 Year Carry-in Warranty;n/a;FR;n/a;3YJ-00004;0889842133950;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/3YJ-00004;0;n/a;n/a;Fjernlager Ukendt
3YJ-00008;n/a;MS Surface Wireless Keyboard, SWITZ/LUX Grey;50;27;NEW;MICROSOFT;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;CH;n/a;3YJ-00008;0889842133998;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/3YJ-00008;0;n/a;n/a;Fjernlager Ukendt
3YJ-00010;n/a;MS Surface Wireless Keyboard, Italy Grey;29;54;NEW;MICROSOFT;KEYBOARD;1YM;1 Year Manufacturer Warranty;n/a;n/a;n/a;3YJ-00010;0889842134018;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;ES.FOXWAY.DK/ITEM/3YJ-00010;0;n/a;n/a;Fjernlager Ukendt
